,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,klines_EMA,RSI,space 1,order_entry_time,order_entry_direction,order_price,order_buy,order_quantity,order_profit,order_liquidation,space 2,Long Result,Short Result,Property
0,2023-04-20 00:00:00,28797.1,29088.3,28010.0,28243.65,26242.92,45.45,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-21 00:00:00,28243.65,28374.02,27125.0,27262.84,26271.65,39.18,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-22 00:00:00,27262.84,27882.72,27140.35,27816.85,26315.18,43.94,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-23 00:00:00,27816.85,27816.85,27311.25,27590.6,26351.11,42.46,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-24 00:00:00,27590.59,28000.0,26942.82,27510.93,26383.78,41.92,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-25 00:00:00,27510.93,28399.99,27192.0,28300.79,26437.78,48.98,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-26 00:00:00,28300.8,30036.0,27235.0,28415.29,26493.48,49.94,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-27 00:00:00,28415.29,29890.0,28378.86,29472.77,26577.41,57.94,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-28 00:00:00,29472.77,29599.54,28891.0,29311.7,26654.43,56.44,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-29 00:00:00,29311.69,29448.88,29031.0,29230.45,26726.99,55.65,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-30 00:00:00,29230.45,29969.39,29079.59,29233.21,26797.59,55.67,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-01 00:00:00,29233.2,29337.34,27666.95,28068.26,26833.38,44.92,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-02 00:00:00,28068.26,28879.88,27872.0,28669.86,26885.12,50.33,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-03 00:00:00,28669.85,29266.66,28113.69,29026.16,26945.43,53.29,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-04 00:00:00,29026.16,29379.83,28663.64,28838.16,26998.74,51.52,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-05 00:00:00,28838.16,29677.0,28800.0,29505.61,27069.36,57.04,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-06 00:00:00,29505.6,29820.0,28300.0,28848.2,27119.47,50.82,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-07 00:00:00,28848.19,29138.29,28395.23,28430.1,27156.39,47.25,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-08 00:00:00,28430.09,28631.01,27262.0,27668.79,27170.82,41.46,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-09 00:00:00,27668.8,27818.0,27353.0,27628.27,27183.71,41.17,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-10 00:00:00,27628.28,28331.42,26777.0,27598.75,27195.4,40.94,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-11 00:00:00,27598.74,27630.14,26702.05,26968.62,27189.01,36.23,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-12 00:00:00,26968.61,27091.12,25811.46,26795.01,27177.91,35.02,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-13 00:00:00,26795.01,27045.45,26692.03,26775.28,27166.57,34.87,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-14 00:00:00,26775.27,27200.0,26560.53,26917.62,27159.56,36.92,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-15 00:00:00,26917.61,27663.59,26726.0,27162.14,27159.63,40.43,,,,,970000.0,,,,,,,3204999.999999997
0,2023-05-16 00:00:00,27162.15,27296.89,26852.11,27033.84,27156.09,39.18,,,,,972500.0,,,,,,,3214999.999999997
0,2023-05-17 00:00:00,27033.85,27500.0,26544.71,27405.61,27163.11,44.59,,,,,972500.0,,,,,,,3214999.999999997
0,2023-05-18 00:00:00,27405.62,27485.33,26361.2,26821.28,27153.49,38.69,,,,,972500.0,,,,,,,3214999.999999997
